PitchNo,Date,Time,Batter,PitchUID,Equipment,Handedness,Plane Score,Connection Score,Rotation Score,Bat_Speed,Rotational_Acceleration,OPE,Attack_Angle,Early_Connection,Connection_at_Impact,Vertical_Bat_Angle,Power,Peak_Hand_Speed,Time_to_Contact,PAofInning,PitchofPA,PitcherThrows,PitcherTeam,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,wOBA.x,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League.x,GameID,Connection_Diff,Swings,League.y,College_wOBA,College_wRC_plus,CollegeK,CollegeBB,CollegeMiss,K,BB,Pitches Per PA,Swing,SwStr,Whiff,Z-Swing,Chase,Contact,Z-Contact,O-Contact,PA,BIP,xwOBA,wOBA.y,xwOBAcon,wOBAcon,HardHit,Barrel,Max_EV,Avg_EV,Med_EV,SD_EV,IQR_EV,Avg_LA,Med_LA,SD_LA,IQR_LA,Avg_Dist,Avg_Spin,AvgBS,MedBS,MaxBS,Top_10%_Avg_BS,10%_Number,SD_BS,AvgAA,Med_AA,SD_AA,AvgTTC,SD_TtC,AvgVBA,SD_VBA,AvgEC,MedEC,SDEC,AvgCI,MedCI,SD CI,AvgOPE,Med OPE,SD OPE,Avg Peak Hand Speed,SD PHD,Avg Power,SD PWR,Average Rotational Acceleration,SD RA,Z_AA,Z_BS,Z_VBA,Z_OPE,Z_CI,Z_EC,Z_TTC,Zone
231,6/16/19,8:59:16 PM,Player D,245c3525-909b-11e9-b286-1c1bb52a548f,Bat,L,52,32,54,69.6,14.6,68,3,116,101,-28,4.42,22.3,0.14,3,6,Right,CHA_ANG,Left,WAR_GAT,Windup,6,Bottom,2,1,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,0,1,0,NA,88.98599285,1.345883873,-5.789392404,2108.846456,266.0803912,0.114583333,3.867332683,3.40378796,6.376271097,-33.41110168,1.633397939,24.32020776,2.327782826,0.086379813,80.50938035,-5.000403515,-1.174258892,0.426070484,95.2342784,-9.976264062,16.26144633,NA,NA,NA,NA,15.08459683,14.39067994,13.69063415,0.0968927,-15.10979527,0.492921203,-2.9968784,50,3.949152721,12.35676097,-128.8977239,2.06564447,-25.23250636,28.64540668,-31.35089793,WAR_GAT,CHA_ANG,CCBLWareham,CCBL,CCBL,20190616-CCBLWareham-2,15,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-1.142857143,0.766666667,-0.285714286,0.875,1.666666667,0.454545455,-1.2,Middle Middle
25,6/17/19,6:12:41 PM,Player D,0486a25d-914d-11e9-92da-cc2f719bf2a2,Bat,L,54,33,54,71.7,14.5,70,4,112,103,-40,4.98,22.9,0.13,1,5,Left,FAL_COM,Left,WAR_GAT,Windup,2,Top,0,3,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,1,0,NA,88.0680753,-3.150831694,4.713502029,2037.933427,129.4308748,0.427083333,7.353872042,-3.156827065,5.654652596,-23.09046929,13.75969031,-16.77506339,2.478606855,-0.149521221,79.82202829,-7.468638123,1.564029486,0.436909215,100.679583,-5.025859481,-17.02756961,NA,NA,NA,NA,26.55990536,16.09872781,-15.77798654,0.175681763,10.44127951,8.346673152,2.767893156,50,7.071858387,-9.954388259,-127.4523068,-7.80282041,17.0052049,28.6082995,-18.58022732,FAL_COM,WAR_GAT,CCBLFalmouth,CCBL,CCBL,20190617-CCBLFalmouth-1,9,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-1,1.116666667,-2,1.125,2,0.090909091,-1.866666667,Middle Middle
61,6/14/19,7:15:18 PM,Player D,47b69316-8efa-11e9-b286-1c1bb52a548f,Bat,L,53,59,59,66.4,17.5,69,6,100,90,-23,3.92,21.6,0.15,1,4,Right,ORL_FIR,Left,WAR_GAT,Windup,2,Bottom,0,1,2,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,0,1,0,NA,77.31197645,0.519860799,-3.489064195,1849.488027,247.1392702,0.09375,5.592986091,2.700639355,6.591919769,-40.68492402,4.664492702,11.16468203,2.679757289,0.430475574,71.10066131,-7.188993806,-1.366423401,0.484682536,86.28302829,-20.39950151,18.52661029,NA,NA,NA,NA,9.132744696,7.350250838,11.74632114,0.061454468,-7.128670511,2.436723359,-2.467017451,50,5.611196987,6.583509573,-112.4794059,0.022265997,-9.146797846,20.10448502,-29.04748857,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,10,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-0.714285714,0.233333333,0.428571429,1,-0.166666667,-1,-0.533333333,Middle In
287,6/17/19,8:38:44 PM,Player D,6bd63d18-9161-11e9-92da-cc2f719bf2a2,Bat,L,52,52,61,72.5,18.6,68,12,103,88,-17,4.73,23.3,0.14,3,3,Right,FAL_COM,Left,WAR_GAT,Stretch,9,Top,1,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,NA,0,0,NA,93.13434977,-2.837749109,-0.332270563,2424.763358,190.6483238,0.510416667,7.600753903,0.296055523,6.117797273,-11.9323498,20.24693151,3.812476188,3.980971009,0.306605889,84.21448528,-5.095080314,0.392539653,0.408281488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.18283066,11.92846791,-0.272628796,50,7.377382141,0.662153068,-135.3688767,-7.094778919,-4.002242554,32.82930134,-10.30307948,FAL_COM,WAR_GAT,CCBLFalmouth,CCBL,CCBL,20190617-CCBLFalmouth-1,15,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,0.142857143,1.25,1.285714286,0.875,-0.5,-0.727272727,-1.2,NA
119,6/14/19,7:47:21 PM,Player D,c30933f8-8efe-11e9-b286-1c1bb52a548f,Bat,L,54,49,54,69.2,14.8,70,10,107,91,-22,4.25,22.6,0.15,2,3,Right,ORL_FIR,Left,WAR_GAT,Stretch,4,Bottom,0,1,1,Cutter,Fastball,InPlay,Undefined,Popup,Out,0,1,0,NA,82.96184309,-0.59476095,-2.565534999,1967.769484,174.3431923,0.489583333,5.84799028,2.403398579,6.947009622,-26.91514443,11.81088236,-1.173497732,3.063279427,-0.030536073,76.33422218,-5.726832691,-2.789906947,0.447891674,64.85657283,60.57018466,-33.24306179,5086.368512,79.09005254,40.56917537,-76.45104923,122.4280736,51.99493107,-44.12591115,4.393973999,-0.036220885,6.77509157,-2.243708754,50,5.801438185,5.444661864,-120.8756004,-1.911814729,-0.05373551,22.95828626,-22.1228585,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,16,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-0.142857143,0.7,0.571428571,1.125,0,-0.363636364,-0.533333333,Up & Middle
164,6/14/19,8:13:23 PM,Player D,64c933b1-8f02-11e9-b286-1c1bb52a548f,Bat,L,48,61,66,64.6,20.8,63,2,98,91,-42,4.1,22.8,0.13,3,1,Right,ORL_FIR,Left,WAR_GAT,Stretch,5,Bottom,0,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,0,1,0,NA,79.0861191,-1.057924452,-2.137192896,2230.626822,133.765852,0.4375,5.987773963,1.740246357,5.775922449,-37.06456504,7.504705687,-7.878927444,1.913951333,-0.905736023,73.11711588,-7.940897382,-3.610620729,0.480495453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65642083,4.30953887,-1.559128609,50,5.878040255,4.526244267,-115.0498983,-3.22104625,4.91933798,20.58959435,-26.37600746,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,7,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-1.285714286,-0.066666667,-2.285714286,0.25,0,-1.181818182,-1.866666667,NA
94,6/17/19,6:48:41 PM,Player D,0b1ad83c-9152-11e9-92da-cc2f719bf2a2,Bat,L,55,44,46,69.6,10.6,72,8,107,95,-38,4.48,22.7,0.14,1,3,Left,FAL_COM,Left,WAR_GAT,Windup,4,Top,0,2,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,1,0,NA,88.14522088,-3.004216738,4.80743963,2242.065356,134.2872839,0.4375,7.206234952,-3.114895552,5.587519477,-21.58165309,15.20508697,-15.62361045,2.590361876,0.082214033,80.03692927,-7.03268323,1.88293973,0.436533091,101.0129463,-1.728814967,-19.12592288,NA,NA,NA,NA,43.43578314,28.28522506,-19.49912712,0.297627563,9.786713189,9.025916048,2.711869489,50,6.933693556,-10.20566195,-127.575815,-7.44265199,16.01626515,27.96210698,-17.40285195,FAL_COM,WAR_GAT,CCBLFalmouth,CCBL,CCBL,20190617-CCBLFalmouth-1,12,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-0.428571429,0.766666667,-1.714285714,1.375,0.666666667,-0.363636364,-1.2,Middle Middle
314,6/14/19,9:28:37 PM,Player D,e74a530e-8f0c-11e9-b286-1c1bb52a548f,Bat,L,36,44,53,69.3,14.2,47,16,108,85,-30,3.89,22.7,0.16,2,3,Right,ORL_FIR,Left,WAR_GAT,Windup,9,Bottom,1,2,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,NA,0,0,NA,90.30012428,-1.787118359,-4.392708183,2339.552786,251.3584917,0.104166667,5.298445527,2.893751587,6.766991217,-29.52708209,3.733321174,11.15951279,1.200662472,-0.195237834,82.6369291,-7.401892696,-2.262449294,0.415083312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.484480342,2.59616164,-2.611215092,50,5.170073039,9.770097283,-131.173908,-4.915530266,-12.99540781,28.64425324,-27.66629682,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,23,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,0.714285714,0.716666667,-0.571428571,-1.75,-1,-0.272727273,0.133333333,NA
315,6/14/19,9:28:55 PM,Player D,f2a7274b-8f0c-11e9-b286-1c1bb52a548f,Bat,L,49,54,54,70.3,14.9,64,5,102,88,-30,4.27,22.5,0.15,2,4,Right,ORL_FIR,Left,WAR_GAT,Windup,9,Bottom,1,2,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,0,1,0,NA,90.21118122,-1.738922284,-2.738417115,2170.365735,206.5757131,0.041666667,5.357273988,2.815032546,6.746117447,-21.00649037,12.23257532,6.13476665,2.015949718,0.822854445,82.37662278,-5.74289949,-1.565256537,0.414950147,91.93825925,23.4010264,-18.10565855,3456.688115,102.6907793,40.77598075,-39.42713919,289.5755158,281.8932007,-25.46538167,3.802803345,-4.206320227,7.312800657,-2.637819303,50,5.234861552,6.109782268,-131.2778744,-4.569923358,-7.313357433,28.75040833,-19.45958029,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,14,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,-0.857142857,0.883333333,-0.571428571,0.375,-0.5,-0.818181818,-0.533333333,NA
93,6/16/19,7:41:36 PM,Player D,4cd55dd0-9090-11e9-b286-1c1bb52a548f,Bat,L,43,47,57,73.5,16.2,57,15,109,90,-23,4.43,22.7,0.16,8,3,Left,CHA_ANG,Left,WAR_GAT,Stretch,2,Bottom,2,1,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Single,0.89,0,1,NA,84.30107794,-2.847852674,2.907527646,1930.690399,157.2274021,0.46875,6.076344242,-1.441219572,6.287847902,-19.18470234,19.75883758,-8.31010432,1.847822575,0.5478113,76.71586257,-6.473784818,1.329023627,0.449147753,74.58667957,19.53440162,13.25181364,1034.184723,106.9544936,24.2149283,25.70287758,217.1232982,216.7747399,14.91370596,2.581019897,5.420637085,11.67731198,1.23124101,50,5.857141474,-5.983627635,-122.4473268,-6.642519137,8.172871609,25.73953532,-14.56778382,WAR_GAT,CHA_ANG,CCBLWareham,CCBL,CCBL,20190616-CCBLWareham-2,19,1107,Cape,NA,NA,NA,NA,13,25,7,3.7,51,13,26,75,32,74,83,63,134,92,0.255,0.334,0.349,0.418,25,2,101,85,86,12,17,14,15,22,30,169,2899,65,66,75,73,71,6,11,12,7,0.158,0.015,-26,7,111,112,11,91,91,6,61,61,8,21,2,4,0.7,11,5,0.571428571,1.416666667,0.428571429,-0.5,-0.166666667,-0.181818182,0.133333333,Down & In
