PitchNo,Date,Time,Batter,PitchUID,Equipment,Handedness,Plane Score,Connection Score,Rotation Score,Bat_Speed,Rotational_Acceleration,OPE,Attack_Angle,Early_Connection,Connection_at_Impact,Vertical_Bat_Angle,Power,Peak_Hand_Speed,Time_to_Contact,PAofInning,PitchofPA,PitcherThrows,PitcherTeam,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,wOBA,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,Connection_Diff,PC1,PC2,PC3,PC4,PC5
123,6/14/19,7:49:11 PM,Player A,01d5d68b-8eff-11e9-b286-1c1bb52a548f,Bat,L,65,46,51,71.3,13.3,84,3,84,75,-31,4.64,21.4,0.14,4,1,Right,ORL_FIR,Left,WAR_GAT,Stretch,4,Bottom,2,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Double,1.27,0,0,NA,85.41969941,-1.742297968,-2.77790585,2265.913477,190.6622605,0.510416667,5.770364612,2.621735036,7.026780435,-20.98712144,15.63474669,2.950034075,2.436058794,0.3416247,78.15668219,-5.758547268,-2.211467383,0.435553758,93.27257511,14.76786945,-13.62109874,2620.548758,105.2079805,21.83800109,-32.11158784,248.2756935,247.5077692,-20.67258929,2.58632019,-2.451077068,9.288875213,-2.454136857,50,5.657386396,5.962254908,-124.3664447,-4.301154163,-3.829508782,25.50952898,-17.66131468,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,9,1.596653662,1.436399839,-0.450738195,-0.434028841,-0.590490315
336,6/14/19,9:46:28 PM,Player A,64c35c1d-8f0f-11e9-b286-1c1bb52a548f,Bat,L,64,44,59,72.3,17.4,83,5,82,76,-33,5.29,22.1,0.13,1,1,Right,ORL_FIR,Left,WAR_GAT,Windup,10,Bottom,0,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,0,1,0,NA,89.6772461,-1.693929434,-3.250098249,2086.088173,202.8569333,0.53125,5.715290032,2.443366041,6.567499663,-20.82862667,13.20812875,5.581126171,2.423957096,-0.073786629,81.51421994,-5.658914956,-2.18490004,0.41989973,76.55228206,26.86851335,-26.50475956,4028.106468,94.12268707,39.34999254,-56.92893628,235.7013312,196.7460891,-37.09418282,3.283815308,-4.070211529,7.824271791,-2.222350463,50,5.589854695,7.244596527,-130.3715442,-4.453840444,-6.948925083,29.46568412,-18.81595202,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190614-CCBLWareham-1,6,2.86923222,1.362693034,-0.158164758,-0.07177098,-0.309652712
56,6/20/19,7:17:02 PM,Player A,8000df99-93b1-11e9-b288-1c1bb52a548f,Bat,L,62,34,50,68.2,12.8,80,7,78,68,-26,4.25,19.6,0.14,1,4,Left,HAR_MAR,Left,WAR_GAT,Windup,2,Bottom,0,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,0,1,0,NA,83.98392057,-1.596917862,2.486515812,2374.199308,174.2452319,0.489583333,6.395073787,-1.811029714,5.520927827,-32.46492242,7.664089602,-0.776179917,2.194961668,0.450313904,77.07540189,-7.620872019,2.341561814,0.455932711,75.889535,8.818045567,-0.63238618,1372.321597,109.7622655,3.341915374,-7.22575853,127.5721151,52.83471391,-4.213139845,1.296730347,1.112635801,4.52928463,1.595257346,50,6.234580342,-5.273718568,-122.0264419,-4.463287142,1.675792257,24.25962996,-25.35228343,WAR_GAT,HAR_MAR,CCBLWareham,CCBL,CCBL,20190620-CCBLWareham-1,10,0.660150862,1.634072902,-1.272608003,-0.414975672,0.236574709
41,6/23/19,5:28:01 PM,Player A,c5e6ae76-95fd-11e9-bca8-1c1bb52a52af,Bat,L,72,32,52,70.5,13.8,93,0,75,68,-38,4.41,22.1,0.15,3,3,Right,ORL_FIR,Left,WAR_GAT,Stretch,2,Top,1,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,0,1,0,NA,78.85141743,-0.088204231,-0.978545954,2452.295754,74.70477544,0.354166667,5.691042445,1.891972214,5.27798935,-46.77614473,-1.228369132,-4.335038634,1.710184344,0.611662714,73.09077378,-8.69875031,-1.782702784,0.485741382,93.63425255,-11.3951506,-2.509347326,NA,NA,NA,NA,8.90211194,8.90211194,-6.054061833,0.059538574,2.028801323,-0.624107437,-1.799594358,50,5.649013542,2.098440121,-114.7244892,-1.675268473,2.720522594,20.00309336,-33.01094587,ORL_FIR,WAR_GAT,CCBLOrleans,CCBL,CCBL,20190623-CCBLOrleans-2,7,1.582385005,2.649305416,-0.603586886,-0.032776444,-0.902211941
151,6/23/19,6:32:14 PM,Player A,c09c1c09-9606-11e9-bca8-1c1bb52a52af,Bat,L,67,52,59,71.5,17.4,86,-5,87,77,-35,5.43,21.5,0.12,4,3,Right,ORL_FIR,Left,WAR_GAT,Stretch,6,Top,2,1,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,1,0,NA,91.9464235,-1.106940681,-4.823891042,2364.989433,225.1261264,0.0625,5.114799392,2.849646558,6.452427322,-17.2941083,14.80881797,14.90447697,2.653027654,-0.350121734,84.6946248,-4.37149344,-2.014868166,0.407796815,69.86919347,-34.85965989,2.20482323,NA,NA,NA,NA,4.311371685,4.302656872,6.953502111,0.044209595,-9.380454103,8.404961452,-2.514721792,50,5.028356052,10.82058784,-133.568378,-3.113953274,-17.12517022,25.92267006,-16.82975989,ORL_FIR,WAR_GAT,CCBLOrleans,CCBL,CCBL,20190623-CCBLOrleans-2,10,3.233237811,1.617487182,0.403118917,-1.435839667,-0.715192126
38,6/29/19,5:19:25 PM,Player A,94688aff-9ab3-11e9-a587-1c4d702b06a0,Bat,L,63,38,57,70.7,16.3,82,10,83,68,-30,4.38,20.7,0.15,3,1,Right,COT_KET,Left,WAR_GAT,Windup,2,Top,2,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,0,1,0,NA,89.66882569,-2.015454898,-2.631755493,2149.694153,213.3319539,0.041666667,5.549954305,2.282292639,6.851712504,-18.29668076,15.63453095,10.30343535,2.185166068,0.740014437,80.75475351,-5.536109663,-0.642721858,0.419248196,95.17919894,21.39895195,-2.352953986,2287.255681,109.8339345,38.53516311,-6.031943991,355.5085522,350.1172773,-4.585929097,3.944631958,-6.646835254,9.432868812,-2.118334475,50,5.414634121,5.721431909,-130.4018692,-5.077709915,-11.2405176,31.99504531,-16.22204677,COT_KET,WAR_GAT,CCBLCotuit,CCBL,CCBL,20190629-CCBLCotuit-1,15,1.0581019,0.947087964,-1.245870751,0.248392319,-0.065818628
136,6/29/19,6:22:24 PM,Player A,6163fba2-9abc-11e9-a587-1c4d702b06a0,Bat,L,60,52,52,72,13.5,77,12,91,76,-30,4.48,21.2,0.15,1,3,Right,COT_KET,Left,WAR_GAT,Windup,5,Top,0,1,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,1,0,NA,88.60117011,-1.918137159,-3.911349638,1910.035015,234.6388397,0.072916667,5.669406896,2.122175155,6.514534814,-22.32883524,12.64000137,17.85809942,2.043967212,0.016011022,80.55621927,-6.164306744,-0.506285548,0.425610281,86.03863075,5.367859125,34.65527943,2847.880395,NA,NA,NA,91.59781586,91.59781586,36.37860221,0.789221191,-11.03468952,7.557041308,-1.857415071,50,5.525782165,8.291835795,-128.694476,-4.954364603,-18.37651709,28.45714934,-19.58900042,COT_KET,WAR_GAT,CCBLCotuit,CCBL,CCBL,20190629-CCBLCotuit-1,15,0.879032958,0.129007686,-0.798622129,0.386890521,-0.519827944
279,6/29/19,7:45:30 PM,Player A,fbf93162-9ac7-11e9-a587-1c4d702b06a0,Bat,L,66,41,54,57.7,14.7,86,-2,106,80,-16,3.32,18.1,0.13,1,4,Right,COT_KET,Left,WAR_GAT,Windup,9,Top,0,1,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Single,0.89,0,0,NA,87.77455918,-0.731903495,-1.929501025,2163.240238,206.4281229,0.041666667,5.870105287,0.707425226,6.378940576,-16.77972845,18.88365744,9.402150296,3.798105485,-0.284661685,79.68395202,-3.923562868,-0.138660202,0.429816224,59.72932108,30.25475615,-34.02896012,3167.789199,86.12995805,33.34636315,-68.42230463,180.3999858,122.2445345,-40.36193646,2.974330444,-5.745069837,10.60046173,-0.572929367,50,5.809585189,4.031015709,-127.7505026,-2.11969469,-9.427259818,28.05151714,-14.77942852,COT_KET,WAR_GAT,CCBLCotuit,CCBL,CCBL,20190629-CCBLCotuit-1,26,-0.822353341,0.459323977,0.309258338,-3.596814909,0.914298176
123,6/30/19,7:37:29 PM,Player A,07a8298a-9b90-11e9-b28b-1c1bb52a548f,Bat,L,62,40,45,68.6,10.2,80,4,83,70,-31,4.42,21.4,0.14,2,1,Left,COT_KET,Left,WAR_GAT,Windup,5,Bottom,1,0,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0.89,0,0,NA,89.39760708,-1.340476905,3.518727437,2250.279252,140.965054,0.447916667,5.234964744,-2.401304294,6.842906467,-18.94310668,14.73739469,-11.97467285,2.431599802,-0.186794455,81.67222132,-4.959505368,1.228420662,0.417696458,95.85048704,1.167129864,1.276072275,770.0764658,NA,NA,NA,54.49234239,51.20055774,0.842780852,0.403532104,7.678055068,8.607172705,2.180827795,50,5.142071888,-7.676626621,-130.059716,-3.556688291,13.13548765,27.58815163,-17.44904206,WAR_GAT,COT_KET,CCBLWareham,CCBL,CCBL,20190630-CCBLWareham-1,13,0.942689132,1.344609865,-0.785655023,-0.545265861,-0.482429442
180,6/30/19,8:09:44 PM,Player A,897994e8-9b94-11e9-b28b-1c1bb52a548f,Bat,L,62,37,55,69.8,15,80,4,83,67,-17,4.2,22.5,0.15,4,4,Right,COT_KET,Left,WAR_GAT,Windup,7,Bottom,0,1,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Sacrifice,0,1,1,NA,91.00707009,-1.809523246,-1.35432655,2140.753414,212.8563605,0.041666667,6.464508578,0.822947518,5.26846243,-19.12077317,15.27168748,9.884090617,3.170431075,0.374300153,83.29413325,-5.351467643,0.483943757,0.422088134,88.92209261,18.4610029,0.842457025,2082.584887,109.8990511,30.67052504,-4.698855969,289.4154459,278.8884836,-7.078057081,3.29164856,-5.581908803,8.547214344,-0.70640286,50,6.285250653,2.762969315,-132.2768717,-4.884886064,-9.904411779,27.82662872,-17.0080662,WAR_GAT,COT_KET,CCBLWareham,CCBL,CCBL,20190630-CCBLWareham-1,16,1.066915333,0.75924273,-1.516987886,-0.815995064,0.790810259
33,7/2/19,5:23:54 PM,Player A,b73eef71-9d0f-11e9-8da8-38baf8f1539b,Bat,L,66,36,51,72,13.3,85,10,82,66,-24,4.54,21.7,0.15,2,2,Left,YAR_RED,Left,WAR_GAT,Windup,2,Top,1,1,0,Slider,Slider,InPlay,Undefined,FlyBall,Out,0,1,0,NA,81.56581061,-0.283840046,2.698182396,2510.752335,204.7399846,0.53125,6.030014358,-2.072786063,5.236429635,-34.37703913,9.395744066,4.348470609,2.898208359,0.827229844,73.36463089,-6.703871922,3.513315714,0.476182684,89.01718276,24.48913464,1.738260742,2478.832271,109.9994825,42.71444525,-0.156301342,334.9195105,325.1999634,-1.798686422,4.000252075,-1.388156305,5.072848508,1.821597993,50,5.979150321,-5.716757198,-118.3029233,-1.705310628,-1.926382911,26.94521902,-25.13431633,YAR_RED,WAR_GAT,CCBLYarmouth,CCBL,CCBL,20190702-CCBLYarmouth-1,16,1.275735039,0.801252406,-1.880848266,-0.08347576,-0.14908687
144,7/2/19,6:27:28 PM,Player A,95446ea5-9d18-11e9-8da8-38baf8f1539b,Bat,L,64,41,52,73.2,13.8,83,4,85,69,-30,4.96,22.2,0.14,2,2,Right,YAR_RED,Left,WAR_GAT,Windup,6,Top,1,1,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0.89,0,0,NA,90.69820466,-1.083256311,-3.820134629,2331.694408,246.5181925,0.09375,5.470278962,2.549283449,6.862416563,-25.72069907,7.989880156,18.4643915,2.337261974,0.601040884,80.37915465,-6.076757753,-0.226425819,0.417882925,90.00170967,-8.555869869,-0.096426621,NA,NA,NA,NA,14.98909048,14.65118838,-2.521298201,0.108040161,-11.85801213,4.913858113,-2.313063425,50,5.392050449,8.308101811,-131.6855094,-3.171029645,-20.09609665,37.04067733,-23.84639916,YAR_RED,WAR_GAT,CCBLYarmouth,CCBL,CCBL,20190702-CCBLYarmouth-1,16,2.12850043,0.848334121,-1.096331105,-0.465363946,-0.648313971
25,7/5/19,6:55:07 PM,Player A,f306a972-9f77-11e9-b28b-1c1bb52a548f,Bat,L,68,41,46,72.9,10.7,88,10,86,69,-32,4.31,22.8,0.16,7,2,Right,ORL_FIR,Left,WAR_GAT,Windup,1,Bottom,2,0,1,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,0,1,0,NA,82.66007077,-1.600704387,-2.132848249,1801.423471,233.1614688,0.072916667,5.546146059,1.499836196,6.002911859,-33.764836,7.245432615,9.723073369,1.248013075,0.333188809,75.20049661,-7.954906691,-0.289623736,0.460911798,70.54502336,10.8194097,17.48040303,1106.883948,104.4342118,4.711657096,34.5469029,131.9453456,131.304744,18.67588347,1.457892456,-5.943118125,4.432466153,-1.33759916,50,5.401920809,4.189918183,-120.1428502,-4.347645264,-8.587395156,25.75799174,-25.76944115,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190705-CCBLWareham-1,17,0.914940948,0.753423393,-1.42845347,0.418369779,-1.122427732
71,7/5/19,7:17:09 PM,Player A,00217607-9f7b-11e9-b28b-1c1bb52a548f,Bat,L,66,27,50,68,12.6,85,6,83,52,-22,3.89,20.1,0.15,9,4,Right,ORL_FIR,Left,WAR_GAT,Stretch,2,Bottom,1,1,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,2,0,NA,87.74302438,-2.876960162,-1.739113667,2163.915594,205.472407,0.53125,5.860086388,1.356390463,5.873064535,-16.84810832,19.76574813,9.432495998,1.780699963,0.526781831,79.46443455,-6.045640112,0.044873687,0.435506113,89.77698249,-7.629413293,12.77195341,NA,NA,NA,NA,13.71149059,12.77860041,9.752136813,0.09883728,-5.635975369,11.5732861,-1.221279686,50,5.617685984,3.569082988,-127.4243346,-6.942202629,-9.164977089,28.86014382,-13.35407596,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190705-CCBLWareham-1,31,0.235951922,0.760904673,-2.78588329,-1.286780668,0.212022529
117,7/5/19,7:41:03 PM,Player A,5acc46ed-9f7e-11e9-b28b-1c1bb52a548f,Bat,L,58,45,56,71.4,15.7,76,13,92,72,-30,4.72,20.6,0.14,3,4,Right,ORL_FIR,Left,WAR_GAT,Windup,4,Bottom,1,1,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,1,1,NA,90.73926006,-2.163184876,-3.772227241,2106.365787,220.1100395,0.052083333,5.585514028,2.175026002,6.679959736,-18.39959278,14.85573666,12.5404804,2.068442036,-0.235155368,82.12317717,-5.681582986,-1.369467435,0.415051651,96.72756184,-4.264308101,36.73704509,NA,NA,NA,NA,23.42829757,22.68749505,34.94129672,0.16484314,-8.154144872,8.941247239,-1.928118751,50,5.433414905,8.339687651,-131.8045682,-5.503813105,-14.1787697,31.03202513,-16.62663219,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190705-CCBLWareham-1,20,1.344630819,-0.154226348,-1.002600105,0.057093583,-0.255497587
204,7/5/19,8:21:44 PM,Player A,0b3c775d-9f84-11e9-b28b-1c1bb52a548f,Bat,L,61,45,49,72.8,12.1,79,5,84,74,-41,4.83,20.9,0.14,3,3,Right,ORL_FIR,Left,WAR_GAT,Windup,6,Bottom,1,2,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,0,1,0,NA,88.58379932,-2.102343055,-4.649741184,2173.625795,235.7705416,0.072916667,5.541956404,2.340948123,6.712875225,-21.92583125,13.08999874,19.28845292,1.785914701,-0.311200995,79.94637459,-6.302590786,-0.948578935,0.425896166,99.96570649,2.628563245,17.50887523,1291.140228,NA,NA,NA,71.3682152,69.752093,18.02453118,0.514307251,-12.2442434,7.972587635,-2.040451812,50,5.393721719,9.932092187,-128.51982,-5.325313521,-20.18235146,30.23772844,-19.03272488,WAR_GAT,ORL_FIR,CCBLWareham,CCBL,CCBL,20190705-CCBLWareham-1,10,1.603243674,1.344890164,-0.299874271,0.306026493,-1.33009268
38,7/6/19,3:23:52 PM,Player A,9495b848-a023-11e9-8cfc-38baf8e72d44,Bat,L,56,41,48,68.9,11.4,73,13,101,76,-21,4.33,18.9,0.14,3,4,Left,HAR_MAR,Left,WAR_GAT,Windup,2,Top,2,1,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0.89,0,0,NA,90.55176812,-1.737229989,2.56640002,2223.992416,140.7986936,0.447916667,6.461369757,-1.597590202,5.860930562,-20.08533915,14.45695384,-11.81784197,3.171752474,-0.196869965,81.53347092,-5.5316867,0.326662426,0.423006558,94.88455242,0.137096708,23.29904924,2113.808897,NA,NA,NA,53.83321299,52.49270705,24.151771,0.400812378,7.228494709,8.386132245,1.396450039,50,6.308982275,-5.506785165,-131.4862895,-4.649180657,12.44776591,32.13065333,-17.73278308,HAR_MAR,WAR_GAT,CCBLHarwich,CCBL,CCBL,20190706-CCBLHarwich-1,25,0.026957732,-0.864956043,-1.21527963,-0.973331926,-0.15146522
50,7/7/19,6:59:28 PM,Player A,df50e14e-a10a-11e9-b28b-1c1bb52a548f,Bat,L,61,45,54,67.5,14.8,79,10,96,75,-20,3.88,19.6,0.15,1,1,Left,HYA_HAR,Left,WAR_GAT,Stretch,2,Bottom,0,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Single,0.89,0,0,NA,78.08917647,1.114551854,2.764971545,2187.91948,207.0070418,0.041666667,5.437177768,-2.808528705,5.33018807,-40.74991762,6.579330565,3.376035796,3.088371732,0.068912178,70.63287791,-6.493190706,3.396803412,0.495149473,94.8599327,-1.578447867,23.0175946,2082.14374,NA,NA,NA,41.72934628,40.75427083,22.78629943,0.303915405,-0.906050441,3.133481564,2.556405494,50,5.509323838,-5.576560438,-113.3091936,0.948637426,-1.161009981,23.48036342,-28.15881584,WAR_GAT,HYA_HAR,CCBLWareham,CCBL,CCBL,20190707-CCBLWareham-1,21,-0.1326334,-0.080943558,-1.016790719,-0.859296416,0.376703359
235,7/7/19,8:47:32 PM,Player A,f7e93b3b-a119-11e9-b28b-1c1bb52a548f,Bat,L,49,45,53,71.5,14.2,64,15,87,71,-35,4.54,20.8,0.15,1,2,Right,HYA_HAR,Left,WAR_GAT,Windup,6,Bottom,0,1,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,0,1,0,NA,89.04103875,-2.380968649,-4.103419468,2081.583257,221.5077863,0.0625,6.012060012,1.742027956,6.257440782,-18.11875698,16.79183967,14.88928141,2.299967968,-0.807089571,81.09826741,-5.806179515,-1.284087183,0.42525571,71.57160331,36.70284948,15.41342562,2938.493993,106.5248685,62.94422854,27.43056964,253.1305363,249.2344697,11.90427758,4.469559937,-9.328926488,9.872819213,-1.44489585,50,5.826193999,8.822370889,-129.2349937,-5.933822289,-15.71991871,27.84699867,-15.5376311,WAR_GAT,HYA_HAR,CCBLWareham,CCBL,CCBL,20190707-CCBLWareham-1,16,0.672835694,-0.083254179,-0.914585076,1.218794701,-0.210705911
